status	gruppa_ili_hash	put	simvolov
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/matklassonline/24-prob.tex	443
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/matklassonline/24-sol.tex	442
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/matklassonline/24correspond.tex	50801
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/matklassonline/25-prob.tex	441
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/matklassonline/25-sol.tex	440
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/matklassonline/25binomial.tex	54836
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/matklassonline/26-prob.tex	437
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/matklassonline/26-sol.tex	436
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/matklassonline/26more.tex	32466
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/matklassonline/27-prob.tex	441
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/matklassonline/27-sol.tex	440
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/matklassonline/27whatelse.tex	66049
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/matklassonline/28-prob.tex	441
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/matklassonline/28-sol.tex	440
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/matklassonline/28pentagon.tex	42626
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/matklassonline/99postamble.tex	5464
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/matklassonline/comb-prob.tex	416
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/matklassonline/comb-sol.tex	415
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/matklassonline/integers-prob.tex	2370
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/matklassonline/integers-sol.tex	2369
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/Шень_заход_пакет/shen_paket/matklassonline/00preamble.tex	5046
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/Шень_заход_пакет/shen_paket/matklassonline/01even.tex	33327
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/Шень_заход_пакет/shen_paket/matklassonline/02divisors.tex	21258
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/Шень_заход_пакет/shen_paket/matklassonline/03remainder.tex	39026
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/Шень_заход_пакет/shen_paket/matklassonline/04modnring.tex	27550
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/Шень_заход_пакет/shen_paket/matklassonline/05primes.tex	30544
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/Шень_заход_пакет/shen_paket/matklassonline/06euclid.tex	30487
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/Шень_заход_пакет/shen_paket/matklassonline/07euclidcor.tex	54029
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/Шень_заход_пакет/shen_paket/matklassonline/08unique.tex	34112
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/Шень_заход_пакет/shen_paket/matklassonline/09fermat.tex	38947
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/Шень_заход_пакет/shen_paket/matklassonline/10more.tex	44114
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/Шень_заход_пакет/shen_paket/matklassonline/99postamble.tex	5464
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/Шень_заход_пакет/shen_paket/matklassonline/integers-prob.tex	2370
chelovek	listki-spetsmat	spetsmat/materials/сырьё-извлечения/Шень_заход_пакет/shen_paket/matklassonline/integers-sol.tex	2369
chelovek	listki-spetsmat	spetsmat/spetsmat_db/outputs/shen_tex/shen.tex	309382
chelovek	posty-KT	disciplina/skills/kt-channel-editor/references/golos.md	54912
chelovek	posty-KT	disciplina/skills/kt-channel-editor/references/korpus-postov.md	38927
chelovek	posty-KT	disciplina/skills/kt-channel-editor/references/pravila-serii.md	118145
chelovek	posty-KT	disciplina/skills/kt-channel-editor/references/seriya-sobytij-posty.md	77200
chelovek	posty-KT	disciplina/skills/kt-channel-editor/references/seriya-sobytij.md	47582
chelovek	slajdy	disciplina/skills/slajdy/references/animation-patterns.md	4717
chelovek	slajdy	disciplina/skills/slajdy/references/archetipy-geometriya.md	10225
chelovek	slajdy	disciplina/skills/slajdy/references/byudzhet-obyoma.md	21520
chelovek	slajdy	disciplina/skills/slajdy/references/cikly-i-komandy.md	38726
chelovek	slajdy	disciplina/skills/slajdy/references/decks/01-graphs.md	32436
chelovek	slajdy	disciplina/skills/slajdy/references/decks/02-buffon.md	31885
chelovek	slajdy	disciplina/skills/slajdy/references/decks/03-comb.md	30542
chelovek	slajdy	disciplina/skills/slajdy/references/decks/04-bertrand.md	27540
chelovek	slajdy	disciplina/skills/slajdy/references/decks/05-markov.md	28784
chelovek	slajdy	disciplina/skills/slajdy/references/decks/06-conics.md	8284
chelovek	slajdy	disciplina/skills/slajdy/references/decks/09-fractal-SECONDARY.md	30406
chelovek	slajdy	disciplina/skills/slajdy/references/dok-04.5-intervyu.md	31930
chelovek	slajdy	disciplina/skills/slajdy/references/dok-05-raskadrovka.md	21381
chelovek	slajdy	disciplina/skills/slajdy/references/dok-07-verstka.md	19225
chelovek	slajdy	disciplina/skills/slajdy/references/dok-08-sceny.md	20422
chelovek	slajdy	disciplina/skills/slajdy/references/dok-10-sborka-qa.md	17856
chelovek	slajdy	disciplina/skills/slajdy/references/dok-3-tekst-slaidov.md	10087
chelovek	slajdy	disciplina/skills/slajdy/references/export-png.md	3415
chelovek	slajdy	disciplina/skills/slajdy/references/fazy-1-2-plan.md	16284
chelovek	slajdy	disciplina/skills/slajdy/references/format-istochnika.md	10940
chelovek	slajdy	disciplina/skills/slajdy/references/free-style-presets.md	9857
chelovek	slajdy	disciplina/skills/slajdy/references/graf-zavisimostej.md	7990
chelovek	slajdy	disciplina/skills/slajdy/references/images.md	10971
chelovek	slajdy	disciplina/skills/slajdy/references/istochnik-istiny.md	14606
chelovek	slajdy	disciplina/skills/slajdy/references/iteration-protocol.md	10592
chelovek	slajdy	disciplina/skills/slajdy/references/kartochka-slajda.md	37557
chelovek	slajdy	disciplina/skills/slajdy/references/math-render.md	20923
chelovek	slajdy	disciplina/skills/slajdy/references/per-slide-algorithm.md	11268
chelovek	slajdy	disciplina/skills/slajdy/references/plakatnyj-stil.md	15756
chelovek	slajdy	disciplina/skills/slajdy/references/primery-verstki.md	8768
chelovek	slajdy	disciplina/skills/slajdy/references/primitivy-verstki.md	20684
chelovek	slajdy	disciplina/skills/slajdy/references/protokol-odnogo-slajda.md	4599
chelovek	slajdy	disciplina/skills/slajdy/references/protokol-peresborki.md	3761
chelovek	slajdy	disciplina/skills/slajdy/references/protokol-pravok.md	11064
chelovek	slajdy	disciplina/skills/slajdy/references/rollout-map.md	16614
chelovek	slajdy	disciplina/skills/slajdy/references/simulations.md	7239
chelovek	slajdy	disciplina/skills/slajdy/references/sito-illyustracij.md	23139
chelovek	slajdy	disciplina/skills/slajdy/references/slide-engine.md	40953
chelovek	slajdy	disciplina/skills/slajdy/references/sosednie-skilly.md	6291
chelovek	slajdy	disciplina/skills/slajdy/references/status-bloka.md	42947
chelovek	slajdy	disciplina/skills/slajdy/references/style-core.md	22668
chelovek	slajdy	disciplina/skills/slajdy/references/texts-corpus.md	128985
chelovek	slajdy	disciplina/skills/slajdy/references/typography.md	3855
chelovek	slajdy	disciplina/skills/slajdy/references/vhod-gejty.md	9577
chelovek	vypuski	matemdigest-map/vypuski/2026-07-25-vypusk-01/vypusk.razmechen.md	40357
chelovek	vypuski	matemdigest-map/vypuski/2026-08-01-vypusk-02/vypusk.razmechen.md	33508
chelovek	vypuski	matemdigest-map/vypuski/2026-08-08-vypusk-03/vypusk.razmechen.md	27741
kniga	00491426e4	~/Книги/Прочее/книги/M.A..Vsemirnov.pdf	34986
kniga	099cbffd67	~/Книги/Логика и множества/shen-logic-part2-2.pdf	303089
kniga	09b42166ce	~/Книги/Графы/Графы Стрелкова.pdf	39189
kniga	0a7b797a78	~/Книги/Прочее/raigor-1.pdf	128393
kniga	0ac2e6de5a	~/Книги/Геометрия_Топология/indra-pages.pdf	90091
kniga	0c42b3956a	~/Книги/Логика и множества/Виленкин - Рассказы о множествах.pdf	263397
kniga	109290b0bd	~/Книги/Логика и множества/Львовский - Что не так. Математические парадоксы и софизмы.pdf	159355
kniga	10b33b0ce6	~/Книги/Прочее/книги/Konkretnaya_matematika_Matematicheskie_osnovy_informatiki.pdf	255085
kniga	14fe64e060	~/Книги/Научпоп/Млодинов Л. - Несовершенная случайность. Как случай управляет нашей жизнью.pdf	242974
kniga	17fb55794d	~/Книги/Логика и множества/Тьюринг__Путеводитель_по_математической_строгости.pdf	115044
kniga	18e6037813	~/Книги/Прочее/книги/cosmo.pdf	127424
kniga	19cc79e856	~/Книги/Комбинаторика/shen-induction.pdf	74303
kniga	1b4a38ebb3	~/Книги/Вероятность/probability-theory-2.pdf	91783
kniga	1d1800e61c	~/Книги/Логика и множества/EtudesRu-MS-Book.pdf	301224
kniga	1d85bf7c76	~/Книги/Алгебра_Теория_чисел/Гашков Современная Элементарная Алгебра.pdf	248798
kniga	1e7c01a345	~/Книги/Геометрия_Топология/Табачников - Геометрия и бильярды.pdf	244257
kniga	1eee14c8b1	~/Книги/Научпоп/задачки_с_разборами_и_обсуждениями_1_4кл.pdf	213178
kniga	1f2f332281	~/Книги/Вероятность/shiryaev-slides.pdf	53194
kniga	202e9d9216	~/Книги/Логика и множества/shen-log.pdf	36340
kniga	21a5720891	~/Книги/Комбинаторика/comb-sol-2.pdf	235623
kniga	235561c5c8	~/Книги/Прочее/all.pdf	68075
kniga	24873a8d7c	~/Книги/Научпоп/Перельман - Занимательная математика.pdf	224718
kniga	25c7752b22	~/Книги/Комбинаторика/K-M-copy.pdf	18973
kniga	2c66206599	~/Книги/Логика и множества/coding-theory-05-2016.pdf	286197
kniga	2e7e90786d	~/Книги/Геометрия_Топология/SeminarsA+G.pdf	24291
kniga	31d8f33242	~/Книги/Прочее/книги/kvant-2020-08-Vas.pdf	20515
kniga	36e0ecd278	~/Книги/Прочее/книги/book.14-full.pdf	92755
kniga	37a024299b	~/Книги/Прочее/книги/S_Dasgupta_C_Papadimitriou_U_Vazirani-Algorithms-RU.pdf	281646
kniga	3958f10791	~/Книги/Логика и множества/compl-book.pdf	438202
kniga	3b990d2736	~/Книги/Вероятность/Вероятность в задачах и решениях. Шень.pdf	262613
kniga	3c537d0cd7	~/Книги/Прочее/книги/ordered.pdf	91521
kniga	3db8f272af	~/Книги/Научпоп/Сингх - Великая теорема Ферма.pdf	420252
kniga	3ddf54e569	~/Книги/Прочее/книги/B-001-038-698-06.pdf	239546
kniga	428ae3793a	~/Книги/Графы/Омельченко. Теория графов.pdf	283963
kniga	43c8d86df4	~/Книги/Прочее/книги/chelkak-lectures.pdf	52642
kniga	44b4268694	~/Книги/Вероятность/Вероятностный метод в комбинаторике.pdf	8469
kniga	46eb80024d	~/Книги/Прочее/книги/Surdin V.  _Neulovimaja planeta.pdf	135560
kniga	4a864eef08	~/Книги/Вероятность/comb-prob.pdf	134896
kniga	4a96fd5da9	~/Книги/Комбинаторика/Текстовые задачи Блинков.pdf	251108
kniga	4e66dd662f	~/Книги/Вероятность/Ширяев и др. - Вероятность в теоремах и задачах с решениями. Книга 1.pdf	197029
kniga	4e74ad3783	~/Книги/Комбинаторика/combinatorics-M.pdf	174879
kniga	53fb0b4e6f	~/Книги/Доказательство из книги, Айглер, Циглер.pdf	265077
kniga	543a7b8ca0	~/Книги/Анализ/matan_pre_limdif.pdf	103134
kniga	54f5d12ae9	~/Книги/Прочее/1907.01598v2.pdf	43365
kniga	566eeb659f	~/Книги/Вероятность/Мостеллер, Рурке, Томас - Вероятность.pdf	292521
kniga	5aea831c1c	~/Книги/Прочее/Глибичук, Дайняк, Ильинский, Купавский - Элементы дискретной математики в задачах.pdf	265040
kniga	5d7f38aa9d	~/Книги/Логика и множества/Зорич. математический анализ.pdf	318969
kniga	5dfc5baadb	~/Книги/Комбинаторика/Омельченко - Основы перечислительной комбинаторики.pdf	344773
kniga	5e128c1051	~/Книги/Графы/gasnikov-raigorodskii.pdf	47353
kniga	5eb39896fc	~/Книги/Прочее/книги/book.26.pdf	42540
kniga	61e8c4e495	~/Книги/Логика и множества/lecture-1-sets.pdf	6078
kniga	638919269c	~/Книги/Прочее/статьи/mp286.pdf	50956
kniga	66eaffda69	~/Книги/Геометрия_Топология/М Громов Дифференциальные соотношения с частными производными.pdf	311313
kniga	6ca5b1926b	~/Книги/Прочее/книги/book.25.pdf	53449
kniga	6e1745e94f	~/Книги/Анализ/arnold_mmkm.pdf	4440
kniga	6e8508bd28	~/Книги/Прочее/142186-366912-1-PB.pdf	105750
kniga	74873b2f73	~/Книги/Геометрия_Топология/smirnov-reflections-v2.pdf	144324
kniga	77704305fd	~/Книги/Вероятность/Ширяев - Вероятность. Том 1.pdf	229240
kniga	77806299b9	~/Книги/Логика и множества/Автоматы и грамматики.pdf	187549
kniga	7b29ca2891	~/Книги/Комбинаторика/morley24.pdf	50434
kniga	8013966128	~/Книги/Алгебра_Теория_чисел/Городенцев - Алгебра для студентов-математиков. Часть 1.pdf	381624
kniga	819063b62a	~/Книги/Вероятность/Коралов, Синай - Теория вероятностей и случайные процессы.pdf	222387
kniga	8350118b1d	~/Книги/Логика и множества/Простейшие примеры математических доказательств .pdf	187973
kniga	8385e57c60	~/Книги/Вероятность/Задачи заочных интернет-олимпиад по теории вероятностей и статистике.pdf	242787
kniga	856b094605	~/Книги/Прочее/книги/vgershov.lib.ru.pdf	363783
kniga	874ed814b3	~/Книги/Вероятность/Кельбер Сухов Задачник.pdf	240618
kniga	8ca8460b85	~/Книги/Графы/графы.pdf	59864
kniga	8d75a06edb	~/Книги/Научпоп/Шейнерман — Путеводитель для влюблённых в математику.pdf	273899
kniga	8d9ee42ff3	~/Книги/Анализ/конспект_final.pdf	339797
kniga	8f4237cce3	~/Книги/Прочее/main 2.pdf	436379
kniga	8fb2d90c19	~/Книги/Комбинаторика/Раскина Шаповалов Комбинаторика.pdf	245640
kniga	8fccc64b96	~/Книги/Комбинаторика/friezes-final.pdf	158639
kniga	9498a03c40	~/Книги/Комбинаторика/dubna15.pdf	112898
kniga	95e4c84428	~/Книги/Логика и множества/МатФак Предисловие.pdf	263183
kniga	9e149440d3	~/Книги/Логика и множества/top-book.pdf	222362
kniga	a27859dc5e	~/Книги/Анализ/Земляков - Математический анализ реальности.pdf	283347
kniga	a4a735df70	~/Книги/Научпоп/kvant277.pdf	4979
kniga	a51120e6e2	~/Книги/Вероятность/raigor-4.pdf	249723
kniga	a9d93866f3	~/Книги/Прочее/книги/kombinatorika.pdf	191537
kniga	ab5f70dd7a	~/Книги/Комбинаторика/LecturesCGT.pdf	64260
kniga	b531339cb9	~/Книги/Комбинаторика/Раскина Шаповалов Комбинаторика 2.pdf	230693
kniga	bca7b68061	~/Книги/Прочее/mp823.pdf	77137
kniga	be3ff379da	~/Книги/Вероятность/Шень — Вероятность, примеры и задачи.pdf	263519
kniga	bee330383c	~/Книги/Прочее/book.pdf	186290
kniga	c4ea3329c0	~/Книги/Логика и множества/Об основаниях теории множеств .pdf	9684
kniga	c8b549dc30	~/Книги/Комбинаторика/kalinin-notes.pdf	46340
kniga	c9fd7d7be5	~/Книги/Комбинаторика/Индукция Шаповалов.pdf	265524
kniga	ca78957b88	~/Книги/Прочее/книги/kvant2212.pdf	28208
kniga	cd14b92136	~/Книги/Прочее/книги/LandoBook.pdf	242961
kniga	d1850fa5ff	~/Книги/Научпоп/Самойленко - Вероятности и неприятности. Математика повседневной жизни.pdf	253903
kniga	d37e5fea67	~/Книги/Прочее/книги/Семендяева, Федотов - Задачи по теории графов. 5-7 классы.pdf	32295
kniga	d3fcd5f92f	~/Книги/Комбинаторика/comb-sol.pdf	238627
kniga	d5dfa7e8d2	~/Книги/Вероятность/Метод. пособие 7-9 вероятность.pdf	99266
kniga	da7ce36da7	~/Книги/Логика и множества/Лекции по дискретной математике .pdf	311441
kniga	db7cdf819b	~/Книги/Прочее/11647997.pdf	38383
kniga	dec11b0d43	~/Книги/Научпоп/Математика_для_тех,_кто_боится_математики.pdf	158676
kniga	ded7166b38	~/Книги/Логика и множества/Верещагин, Щепин - Информация, кодирование и предсказание.pdf	248409
kniga	df7230eadf	~/Книги/Логика и множества/diskretnaya_matematika_chast_1.pdf	187176
kniga	e14cc4367e	~/Книги/Прочее/книги/12.pdf	238481
kniga	e1bc772960	~/Книги/Геометрия_Топология/visual-geometry-and-topology-shafarevich-M1.pdf	111101
kniga	e3cca9016b	~/Книги/Логика и множества/Ященко.pdf	101060
kniga	e55bdc3d41	~/Книги/Прочее/Виленкин - Комбинаторика 6+.pdf	316672
kniga	e561000ea7	~/Книги/Логика и множества/lecture-2-4-boolean-functions.pdf	44664
kniga	e563d99c69	~/Книги/Комбинаторика/Брошюра-2021 (версия-30-августа).pdf	262111
kniga	e693262a6b	~/Книги/Прочее/книги/2020.12.01.pdf	20258
kniga	e70d74f110	~/Книги/Прочее/книги/sborka.pdf	237766
kniga	e7527f956e	~/Книги/Графы/Райгородский — Модели случайных графов (Летняя школа).pdf	252335
kniga	e9add937b5	~/Книги/Прочее/Матоушек 33 миниатюры.pdf	210089
kniga	ea13c41d00	~/Книги/Логика и множества/lecture-9-first-order.pdf	22292
kniga	ef233e9114	~/Книги/Алгебра_Теория_чисел/Городенцев - Алгебра для студентов-математиков. Часть 2.pdf	387539
kniga	f57968e58b	~/Книги/Научпоп/Трушин - Комбинаторика с нуля.pdf	127353
kniga	f60cdd3ac2	~/Книги/Прочее/книги/shen-games.pdf	168717
kniga	f7c32d7e14	~/Книги/Логика и множества/speranski-l1.pdf	19958
kniga	f91e8a3df3	~/Книги/Научпоп/Гиндикин Рассказы.pdf	295120
kniga	fdc7c5e817	~/Книги/Научпоп/Новая Школьная Энциклопедия. Спивак.pdf	547624
kniga	fec6ad2ec6	~/Книги/Научпоп/Генкин и др. - Ленинградские математические кружки.pdf	248070
kniga	fec985f275	~/Книги/Алгебра_Теория_чисел/Бибиков, Козеренко, Малахов - Теория чисел во Второй школе.pdf	230125
nejroset	festival	matema-fest/.claude/CLAUDE.md	3297
nejroset	festival	matema-fest/.claude/commands/check.md	721
nejroset	festival	matema-fest/.claude/commands/pagespeed.md	1004
nejroset	festival	matema-fest/.claude/commands/weights.md	644
nejroset	festival	matema-fest/.pagespeed/2026-05-05_1058_summary.md	856
nejroset	festival	matema-fest/.pagespeed/2026-05-05_1103_summary.md	859
nejroset	festival	matema-fest/.pagespeed/2026-05-05_1112_summary.md	856
nejroset	festival	matema-fest/.pagespeed/2026-05-05_1149_summary.md	854
nejroset	festival	matema-fest/.pagespeed/2026-05-05_1155_summary.md	854
nejroset	festival	matema-fest/.pagespeed/2026-05-05_1202_summary.md	858
nejroset	festival	matema-fest/.pagespeed/2026-05-05_1256_summary.md	854
nejroset	festival	matema-fest/.pagespeed/2026-05-05_1303_summary.md	854
nejroset	festival	matema-fest/.pagespeed/2026-05-05_1321_summary.md	854
nejroset	festival	matema-fest/.pagespeed/2026-07-09_1311_summary.md	840
nejroset	festival	matema-fest/.pagespeed/2026-07-09_1523_summary.md	840
nejroset	festival	matema-fest/.pagespeed/2026-07-09_1952_summary.md	840
nejroset	festival	matema-fest/ARKA.md	8005
nejroset	festival	matema-fest/CLAUDE.md	5084
nejroset	festival	matema-fest/COWORK.md	5843
nejroset	festival	matema-fest/fractal-odyssey-editor/INDEX.md	2792
nejroset	festival	matema-fest/fractal-odyssey-editor/SKILL.md	17426
nejroset	festival	matema-fest/fractal-odyssey-editor/references/annotations.md	36034
nejroset	festival	matema-fest/fractal-odyssey-editor/references/posts.md	64715
nejroset	festival	matema-fest/fractal-odyssey-editor/references/style-rules.md	99822
nejroset	kursy-materials	materials/.claude/handoffs/2026-07-09-202229-illustration-aware-deck-generator.md	13574
nejroset	kursy-materials	materials/CLAUDE.md	6699
nejroset	kursy-materials	materials/LEKCIYA-s-chego-nachat.md	8967
nejroset	kursy-materials	materials/_fond/zadachi/bank/avtobiograficheskoe-chislo.md	4617
nejroset	kursy-materials	materials/_fond/zadachi/bank/chisla-1-20-summa-minus-1.md	1304
nejroset	kursy-materials	materials/_fond/zadachi/bank/derevo-200-i-100.md	1635
nejroset	kursy-materials	materials/_fond/zadachi/bank/desyat-dvuznachnyh-ravnye-summy.md	1548
nejroset	kursy-materials	materials/_fond/zadachi/bank/doska-nxn-raznost-sosedej.md	3886
nejroset	kursy-materials	materials/_fond/zadachi/bank/gruppirovka-razlozhenie.md	1879
nejroset	kursy-materials	materials/_fond/zadachi/bank/koroli-8x8.md	1483
nejroset	kursy-materials	materials/_fond/zadachi/bank/kubik-rubika-povtor.md	2600
nejroset	kursy-materials	materials/_fond/zadachi/bank/ladyi-na-ramke.md	1910
nejroset	kursy-materials	materials/_fond/zadachi/bank/mantel-30-uchenikov.md	3265
nejroset	kursy-materials	materials/_fond/zadachi/bank/mantel-zond-6-vershin.md	1914
nejroset	kursy-materials	materials/_fond/zadachi/bank/metro-zakryt-stanciyu.md	2029
nejroset	kursy-materials	materials/_fond/zadachi/bank/nod-nok-ostanovitsya.md	2090
nejroset	kursy-materials	materials/_fond/zadachi/bank/odnostoronnie-dorogi.md	2496
nejroset	kursy-materials	materials/_fond/zadachi/bank/otvazhnye-deti.md	2816
nejroset	kursy-materials	materials/_fond/zadachi/bank/podryad-idushchie-summa.md	1739
nejroset	kursy-materials	materials/_fond/zadachi/bank/proizvedenie-a-plus-b-plus-ab.md	1090
nejroset	kursy-materials	materials/_fond/zadachi/bank/ryad-1-16-summy-kvadraty.md	1111
nejroset	kursy-materials	materials/_fond/zadachi/bank/rycar-nalevo-napravo.md	2647
nejroset	kursy-materials	materials/_fond/zadachi/bank/rycar-samaya-levaya.md	4054
nejroset	kursy-materials	materials/_fond/zadachi/bank/spichki-ladya.md	2385
nejroset	kursy-materials	materials/_fond/zadachi/bank/stepeni-1-2-3-4-4.md	999
nejroset	kursy-materials	materials/_fond/zadachi/bank/vinni-puh-gorshochki.md	2244
nejroset	kursy-materials	materials/_fond/zadachi/bank/zarazhenie-nxn.md	1951
nejroset	kursy-materials	materials/_fond/zadachi/bank/zhuki-5x5.md	1871
nejroset	kursy-materials	materials/_illustracii/CLAUDE.md	3908
nejroset	kursy-materials	materials/_illustracii/DISCIPLINA.md	64455
nejroset	kursy-materials	materials/_illustracii/fazy/DOK.md	22307
nejroset	kursy-materials	materials/_illustracii/fazy/PRIMERY.md	18397
nejroset	kursy-materials	materials/_studio/CLAUDE.md	4273
nejroset	kursy-materials	materials/_studio/COWORK.md	21137
nejroset	kursy-materials	materials/_studio/docs/KONSTITUCIYA.md	31696
nejroset	kursy-materials	materials/_studio/docs/kak-delat/ARKA.md	3255
nejroset	kursy-materials	materials/_studio/docs/kak-delat/DRAFT-LEKCII.md	16434
nejroset	kursy-materials	materials/_studio/docs/kak-delat/GIT-disciplina.md	4078
nejroset	kursy-materials	materials/_studio/docs/kak-delat/INTERVYU-pered-sborkoy.md	2085
nejroset	kursy-materials	materials/_studio/docs/kak-delat/ISTOCHNIK-PRAVDY.md	3300
nejroset	kursy-materials	materials/_studio/docs/kak-delat/PROGRAMMA-KURSA.md	12000
nejroset	kursy-materials	materials/_studio/docs/kak-delat/RESERCH-ZADACH.md	24658
nejroset	kursy-materials	materials/_studio/docs/kak-delat/primery-teksta/00-ANTIPRIMER-annotacia-syuzheta.md	5555
nejroset	kursy-materials	materials/_studio/docs/kak-delat/primery-teksta/01-motivacia-kak-spravka.md	5036
nejroset	kursy-materials	materials/_studio/docs/kak-delat/primery-teksta/02-pochemu-ne-delaetsya-golymi-rukami.md	5733
nejroset	kursy-materials	materials/_studio/docs/kak-delat/primery-teksta/03-status-utverzhdeniya.md	5593
nejroset	kursy-materials	materials/_studio/docs/kak-delat/primery-teksta/04-priyom-do-konca-i-povtornoe-primenenie.md	6395
nejroset	kursy-materials	materials/_studio/docs/kak-delat/primery-teksta/05-rez-slovarya.md	5244
nejroset	kursy-materials	materials/_studio/docs/kak-delat/primery-teksta/06-termin-nazvan-no-ne-rabotaet.md	7836
nejroset	kursy-materials	materials/_studio/docs/kak-delat/primery-teksta/07-rukami-i-kontrolnaya-summa.md	5898
nejroset	kursy-materials	materials/_studio/docs/pochemu-i-videnie/RESHENIYA.md	161025
nejroset	kursy-materials	materials/_studio/docs/sostoyanie/OTCHYOT-2026-07-31-pochemu-krugi.md	33698
nejroset	kursy-materials	materials/_studio/docs/sostoyanie/OTKRYTYE-ZADACHI.md	249510
nejroset	kursy-materials	materials/_studio/docs/sostoyanie/SVODKI.md	104857
nejroset	kursy-materials	materials/_studio/docs/spravka/ARHITEKTURA-FABRIKI.md	17205
nejroset	kursy-materials	materials/_studio/docs/spravka/BAZY-ZADACH.md	18922
nejroset	kursy-materials	materials/_studio/docs/spravka/FAZA-1-BLUEPRINT.md	4577
nejroset	kursy-materials	materials/_studio/docs/spravka/FAZA-1-REDESIGN.md	6469
nejroset	kursy-materials	materials/_studio/docs/spravka/FORMAT-LISTKA.md	5582
nejroset	kursy-materials	materials/_studio/docs/spravka/PAPKA-LEKCII.md	14053
nejroset	kursy-materials	materials/_studio/docs/spravka/PRAJOR-ART.md	6726
